========================
PROJECT 3 — LOAD BALANCER LOG
========================
Servers (start): 10
Clock cycles: 10000
TASK TIME RANGE (required): [MIN=5, MAX=40] cycles

Scaling policy:
  Lower threshold = 50 * active_servers
  Upper threshold = 80 * active_servers
  Rest window after scaling (n): 25 cycles

Request arrival model:
  Arrival chance per cycle: 0.3
  Batch size per arrival: 1 to 2
  Initial fill rule: servers * 100

Firewall / IP blocker:
  Blocked ranges: 192.168.10., 10.10.
  Rejection action: discard + log
========================
[INFO] Starting queue size (required): 1000 (seeded from servers * 100)
[SCALE_UP] t=00001 SCALE_UP to 11 | queue=990 (above 80*servers)
[ARRIVAL] t=05179 ARRIVAL +2 | queue=343 | rejected_total=0
[ARRIVAL] t=05180 ARRIVAL +2 | queue=345 | rejected_total=0
[ARRIVAL] t=05185 ARRIVAL +1 | queue=341 | rejected_total=0
[ARRIVAL] t=05187 ARRIVAL +2 | queue=343 | rejected_total=0
[ARRIVAL] t=05190 ARRIVAL +2 | queue=342 | rejected_total=0
[ARRIVAL] t=05191 ARRIVAL +1 | queue=343 | rejected_total=0
[ARRIVAL] t=05194 ARRIVAL +2 | queue=344 | rejected_total=0
[ARRIVAL] t=05195 ARRIVAL +2 | queue=346 | rejected_total=0
[COMPLETE] t=05200 COMPLETE server=6 | completed=2960
[COMPLETE] t=05200 COMPLETE server=9 | completed=2961
[COMPLETE] t=05200 COMPLETE server=10 | completed=2962
[ASSIGN] t=05200 ASSIGN server=6 job=S time=37 | queue=344
[ASSIGN] t=05200 ASSIGN server=9 job=S time=20 | queue=343
[ASSIGN] t=05200 ASSIGN server=10 job=P time=7 | queue=342
[HEARTBEAT] t=05200 queue=342 servers=13 busy=13 completed=2962 rejected=0
[ARRIVAL] t=05201 ARRIVAL +2 | queue=343 | rejected_total=0
[ARRIVAL] t=05204 ARRIVAL +2 | queue=342 | rejected_total=0
[ARRIVAL] t=05205 ARRIVAL +2 | queue=344 | rejected_total=0
[ARRIVAL] t=05207 ARRIVAL +2 | queue=345 | rejected_total=0
[ARRIVAL] t=05210 ARRIVAL +1 | queue=345 | rejected_total=0
[ARRIVAL] t=05217 ARRIVAL +2 | queue=344 | rejected_total=0
[ARRIVAL] t=05226 ARRIVAL +2 | queue=343 | rejected_total=0
[ARRIVAL] t=05227 ARRIVAL +2 | queue=345 | rejected_total=0
[ARRIVAL] t=05229 ARRIVAL +1 | queue=345 | rejected_total=0
[ARRIVAL] t=05231 ARRIVAL +1 | queue=344 | rejected_total=0
[ARRIVAL] t=05232 ARRIVAL +1 | queue=344 | rejected_total=0
[ARRIVAL] t=05236 ARRIVAL +2 | queue=344 | rejected_total=0
[ARRIVAL] t=05242 ARRIVAL +2 | queue=341 | rejected_total=0
[ARRIVAL] t=05243 ARRIVAL +1 | queue=342 | rejected_total=0
[ARRIVAL] t=05246 ARRIVAL +2 | queue=343 | rejected_total=0
[ARRIVAL] t=05251 ARRIVAL +1 | queue=341 | rejected_total=0
[ARRIVAL] t=05254 ARRIVAL +2 | queue=340 | rejected_total=0
[ARRIVAL] t=05256 ARRIVAL +1 | queue=338 | rejected_total=0
[ARRIVAL] t=05260 ARRIVAL +2 | queue=337 | rejected_total=0
[ARRIVAL] t=05261 ARRIVAL +1 | queue=337 | rejected_total=0
[ARRIVAL] t=05262 ARRIVAL +2 | queue=338 | rejected_total=0
[ARRIVAL] t=05269 ARRIVAL +1 | queue=336 | rejected_total=0
[ARRIVAL] t=05271 ARRIVAL +1 | queue=337 | rejected_total=0
[ARRIVAL] t=05275 ARRIVAL +2 | queue=337 | rejected_total=0
[ARRIVAL] t=05284 ARRIVAL +1 | queue=336 | rejected_total=0
[ARRIVAL] t=05293 ARRIVAL +2 | queue=332 | rejected_total=0
[ARRIVAL] t=05297 ARRIVAL +1 | queue=329 | rejected_total=0
[HEARTBEAT] t=05300 queue=328 servers=13 busy=13 completed=3018 rejected=0
[ARRIVAL] t=05302 ARRIVAL +2 | queue=325 | rejected_total=0
[ARRIVAL] t=05307 ARRIVAL +1 | queue=326 | rejected_total=0
[ARRIVAL] t=05309 ARRIVAL +1 | queue=326 | rejected_total=0
[ARRIVAL] t=05315 ARRIVAL +1 | queue=327 | rejected_total=0
[ARRIVAL] t=05318 ARRIVAL +1 | queue=327 | rejected_total=0
[ARRIVAL] t=05319 ARRIVAL +2 | queue=327 | rejected_total=0
[ARRIVAL] t=05320 ARRIVAL +2 | queue=328 | rejected_total=0
[ARRIVAL] t=05321 ARRIVAL +1 | queue=328 | rejected_total=0
[ARRIVAL] t=05322 ARRIVAL +1 | queue=329 | rejected_total=0
[ARRIVAL] t=05323 ARRIVAL +1 | queue=327 | rejected_total=0
[ARRIVAL] t=05329 ARRIVAL +1 | queue=324 | rejected_total=0
[ARRIVAL] t=05331 ARRIVAL +2 | queue=325 | rejected_total=0
[ARRIVAL] t=05332 ARRIVAL +2 | queue=326 | rejected_total=0
[ARRIVAL] t=05336 ARRIVAL +1 | queue=326 | rejected_total=0
[ARRIVAL] t=05337 ARRIVAL +1 | queue=324 | rejected_total=0
[ARRIVAL] t=05338 ARRIVAL +1 | queue=325 | rejected_total=0
[ARRIVAL] t=05339 ARRIVAL +1 | queue=326 | rejected_total=0
[ARRIVAL] t=05344 ARRIVAL +1 | queue=324 | rejected_total=0
[ARRIVAL] t=05347 ARRIVAL +1 | queue=325 | rejected_total=0
[ARRIVAL] t=05349 ARRIVAL +1 | queue=324 | rejected_total=0
[ARRIVAL] t=05355 ARRIVAL +2 | queue=325 | rejected_total=0
[ARRIVAL] t=05356 ARRIVAL +2 | queue=326 | rejected_total=0
[ARRIVAL] t=05360 ARRIVAL +1 | queue=324 | rejected_total=0
[ARRIVAL] t=05364 ARRIVAL +1 | queue=324 | rejected_total=0
[ARRIVAL] t=05367 ARRIVAL +2 | queue=323 | rejected_total=0
[ARRIVAL] t=05371 ARRIVAL +1 | queue=322 | rejected_total=0
[ARRIVAL] t=05372 ARRIVAL +2 | queue=323 | rejected_total=0
[ARRIVAL] t=05376 ARRIVAL +2 | queue=324 | rejected_total=0
[ARRIVAL] t=05384 ARRIVAL +1 | queue=321 | rejected_total=0
[ARRIVAL] t=05391 ARRIVAL +2 | queue=319 | rejected_total=0
[ARRIVAL] t=05393 ARRIVAL +1 | queue=317 | rejected_total=0
[ARRIVAL] t=05394 ARRIVAL +2 | queue=319 | rejected_total=0
[COMPLETE] t=05400 COMPLETE server=7 | completed=3078
[ASSIGN] t=05400 ASSIGN server=7 job=S time=21 | queue=312
[ARRIVAL] t=05400 ARRIVAL +2 | queue=314 | rejected_total=0
[HEARTBEAT] t=05400 queue=314 servers=13 busy=13 completed=3078 rejected=0
[ARRIVAL] t=05401 ARRIVAL +2 | queue=316 | rejected_total=0
[ARRIVAL] t=05402 ARRIVAL +2 | queue=318 | rejected_total=0
[ARRIVAL] t=05408 ARRIVAL +2 | queue=317 | rejected_total=0
[ARRIVAL] t=05413 ARRIVAL +1 | queue=316 | rejected_total=0
[ARRIVAL] t=05415 ARRIVAL +1 | queue=316 | rejected_total=0
[ARRIVAL] t=05418 ARRIVAL +1 | queue=316 | rejected_total=0
[ARRIVAL] t=05419 ARRIVAL +1 | queue=317 | rejected_total=0
[ARRIVAL] t=05429 ARRIVAL +1 | queue=310 | rejected_total=0
[ARRIVAL] t=05432 ARRIVAL +1 | queue=310 | rejected_total=0
[ARRIVAL] t=05446 ARRIVAL +2 | queue=305 | rejected_total=0
[ARRIVAL] t=05448 ARRIVAL +2 | queue=306 | rejected_total=0
[ARRIVAL] t=05449 ARRIVAL +2 | queue=307 | rejected_total=0
[ARRIVAL] t=05453 ARRIVAL +1 | queue=304 | rejected_total=0
[ARRIVAL] t=05458 ARRIVAL +2 | queue=303 | rejected_total=0
[ARRIVAL] t=05460 ARRIVAL +1 | queue=303 | rejected_total=0
[ARRIVAL] t=05462 ARRIVAL +2 | queue=302 | rejected_total=0
[ARRIVAL] t=05463 ARRIVAL +2 | queue=304 | rejected_total=0
[ARRIVAL] t=05466 ARRIVAL +2 | queue=306 | rejected_total=0
[ARRIVAL] t=05467 ARRIVAL +1 | queue=306 | rejected_total=0
[ARRIVAL] t=05476 ARRIVAL +2 | queue=300 | rejected_total=0
[ARRIVAL] t=05484 ARRIVAL +2 | queue=299 | rejected_total=0
[ARRIVAL] t=05486 ARRIVAL +2 | queue=299 | rejected_total=0
[ARRIVAL] t=05487 ARRIVAL +2 | queue=300 | rejected_total=0
[ARRIVAL] t=05488 ARRIVAL +1 | queue=300 | rejected_total=0
[ARRIVAL] t=05489 ARRIVAL +2 | queue=302 | rejected_total=0
[ARRIVAL] t=05495 ARRIVAL +1 | queue=300 | rejected_total=0
[ARRIVAL] t=05499 ARRIVAL +2 | queue=300 | rejected_total=0
[COMPLETE] t=05500 COMPLETE server=0 | completed=3136
[ASSIGN] t=05500 ASSIGN server=0 job=S time=35 | queue=299
[HEARTBEAT] t=05500 queue=299 servers=13 busy=13 completed=3136 rejected=0
[ARRIVAL] t=05501 ARRIVAL +2 | queue=300 | rejected_total=0
[ARRIVAL] t=05502 ARRIVAL +2 | queue=302 | rejected_total=0
[ARRIVAL] t=05507 ARRIVAL +2 | queue=300 | rejected_total=0
[ARRIVAL] t=05509 ARRIVAL +1 | queue=300 | rejected_total=0
[ARRIVAL] t=05514 ARRIVAL +1 | queue=301 | rejected_total=0
[ARRIVAL] t=05515 ARRIVAL +1 | queue=300 | rejected_total=0
[ARRIVAL] t=05516 ARRIVAL +2 | queue=302 | rejected_total=0
[ARRIVAL] t=05522 ARRIVAL +2 | queue=299 | rejected_total=0
[ARRIVAL] t=05525 ARRIVAL +2 | queue=297 | rejected_total=0
[ARRIVAL] t=05530 ARRIVAL +1 | queue=293 | rejected_total=0
[ARRIVAL] t=05531 ARRIVAL +2 | queue=293 | rejected_total=0
[ARRIVAL] t=05540 ARRIVAL +2 | queue=291 | rejected_total=0
[ARRIVAL] t=05542 ARRIVAL +2 | queue=293 | rejected_total=0
[ARRIVAL] t=05544 ARRIVAL +2 | queue=294 | rejected_total=0
[ARRIVAL] t=05548 ARRIVAL +2 | queue=294 | rejected_total=0
[ARRIVAL] t=05550 ARRIVAL +2 | queue=296 | rejected_total=0
[ARRIVAL] t=05553 ARRIVAL +2 | queue=298 | rejected_total=0
[ARRIVAL] t=05556 ARRIVAL +1 | queue=298 | rejected_total=0
[ARRIVAL] t=05561 ARRIVAL +1 | queue=293 | rejected_total=0
[ARRIVAL] t=05567 ARRIVAL +2 | queue=293 | rejected_total=0
[ARRIVAL] t=05572 ARRIVAL +2 | queue=293 | rejected_total=0
[ARRIVAL] t=05574 ARRIVAL +2 | queue=294 | rejected_total=0
[ARRIVAL] t=05577 ARRIVAL +1 | queue=295 | rejected_total=0
[ARRIVAL] t=05578 ARRIVAL +1 | queue=296 | rejected_total=0
[ARRIVAL] t=05585 ARRIVAL +1 | queue=292 | rejected_total=0
[ARRIVAL] t=05587 ARRIVAL +1 | queue=290 | rejected_total=0
[ARRIVAL] t=05591 ARRIVAL +1 | queue=288 | rejected_total=0
[ARRIVAL] t=05598 ARRIVAL +2 | queue=282 | rejected_total=0
[ARRIVAL] t=05599 ARRIVAL +2 | queue=284 | rejected_total=0
[HEARTBEAT] t=05600 queue=284 servers=13 busy=13 completed=3198 rejected=0
[ARRIVAL] t=05602 ARRIVAL +1 | queue=284 | rejected_total=0
[ARRIVAL] t=05603 ARRIVAL +2 | queue=285 | rejected_total=0
[ARRIVAL] t=05604 ARRIVAL +1 | queue=285 | rejected_total=0
[ARRIVAL] t=05607 ARRIVAL +2 | queue=286 | rejected_total=0
[ARRIVAL] t=05608 ARRIVAL +1 | queue=286 | rejected_total=0
[ARRIVAL] t=05610 ARRIVAL +1 | queue=287 | rejected_total=0
[ARRIVAL] t=05611 ARRIVAL +1 | queue=287 | rejected_total=0
[ARRIVAL] t=05612 ARRIVAL +1 | queue=287 | rejected_total=0
[ARRIVAL] t=05620 ARRIVAL +2 | queue=281 | rejected_total=0
[ARRIVAL] t=05633 ARRIVAL +1 | queue=279 | rejected_total=0
[ARRIVAL] t=05636 ARRIVAL +1 | queue=278 | rejected_total=0
[ARRIVAL] t=05637 ARRIVAL +1 | queue=278 | rejected_total=0
[ARRIVAL] t=05638 ARRIVAL +1 | queue=278 | rejected_total=0
[ARRIVAL] t=05643 ARRIVAL +1 | queue=274 | rejected_total=0
[ARRIVAL] t=05645 ARRIVAL +1 | queue=272 | rejected_total=0
[ARRIVAL] t=05647 ARRIVAL +2 | queue=273 | rejected_total=0
[ARRIVAL] t=05649 ARRIVAL +2 | queue=274 | rejected_total=0
[ARRIVAL] t=05652 ARRIVAL +2 | queue=275 | rejected_total=0
[ARRIVAL] t=05653 ARRIVAL +2 | queue=277 | rejected_total=0
[ARRIVAL] t=05655 ARRIVAL +2 | queue=278 | rejected_total=0
[ARRIVAL] t=05661 ARRIVAL +2 | queue=277 | rejected_total=0
[ARRIVAL] t=05668 ARRIVAL +2 | queue=276 | rejected_total=0
[ARRIVAL] t=05672 ARRIVAL +1 | queue=275 | rejected_total=0
[ARRIVAL] t=05674 ARRIVAL +2 | queue=275 | rejected_total=0
[ARRIVAL] t=05677 ARRIVAL +1 | queue=274 | rejected_total=0
[ARRIVAL] t=05679 ARRIVAL +2 | queue=275 | rejected_total=0
[ARRIVAL] t=05682 ARRIVAL +1 | queue=275 | rejected_total=0
[ARRIVAL] t=05684 ARRIVAL +1 | queue=275 | rejected_total=0
[ARRIVAL] t=05687 ARRIVAL +1 | queue=275 | rejected_total=0
[ARRIVAL] t=05688 ARRIVAL +1 | queue=276 | rejected_total=0
[ARRIVAL] t=05695 ARRIVAL +2 | queue=274 | rejected_total=0
[ARRIVAL] t=05696 ARRIVAL +1 | queue=275 | rejected_total=0
[COMPLETE] t=05700 COMPLETE server=5 | completed=3254
[ASSIGN] t=05700 ASSIGN server=5 job=S time=31 | queue=273
[HEARTBEAT] t=05700 queue=273 servers=13 busy=13 completed=3254 rejected=0
[ARRIVAL] t=05701 ARRIVAL +1 | queue=274 | rejected_total=0
[ARRIVAL] t=05703 ARRIVAL +1 | queue=273 | rejected_total=0
[ARRIVAL] t=05704 ARRIVAL +1 | queue=273 | rejected_total=0
[ARRIVAL] t=05706 ARRIVAL +1 | queue=272 | rejected_total=0
[ARRIVAL] t=05711 ARRIVAL +2 | queue=273 | rejected_total=0
[ARRIVAL] t=05719 ARRIVAL +2 | queue=272 | rejected_total=0
[ARRIVAL] t=05725 ARRIVAL +1 | queue=269 | rejected_total=0
[ARRIVAL] t=05726 ARRIVAL +2 | queue=271 | rejected_total=0
[ARRIVAL] t=05727 ARRIVAL +1 | queue=272 | rejected_total=0
[ARRIVAL] t=05732 ARRIVAL +2 | queue=269 | rejected_total=0
[ARRIVAL] t=05733 ARRIVAL +1 | queue=270 | rejected_total=0
[ARRIVAL] t=05739 ARRIVAL +2 | queue=267 | rejected_total=0
[ARRIVAL] t=05744 ARRIVAL +2 | queue=267 | rejected_total=0
[ARRIVAL] t=05754 ARRIVAL +1 | queue=265 | rejected_total=0
[ARRIVAL] t=05759 ARRIVAL +1 | queue=264 | rejected_total=0
[ARRIVAL] t=05760 ARRIVAL +2 | queue=266 | rejected_total=0
[ARRIVAL] t=05761 ARRIVAL +2 | queue=268 | rejected_total=0
[ARRIVAL] t=05762 ARRIVAL +2 | queue=270 | rejected_total=0
[ARRIVAL] t=05763 ARRIVAL +2 | queue=271 | rejected_total=0
[ARRIVAL] t=05768 ARRIVAL +1 | queue=270 | rejected_total=0
[ARRIVAL] t=05775 ARRIVAL +2 | queue=267 | rejected_total=0
[ARRIVAL] t=05779 ARRIVAL +2 | queue=268 | rejected_total=0
[ARRIVAL] t=05780 ARRIVAL +2 | queue=270 | rejected_total=0
[ARRIVAL] t=05781 ARRIVAL +2 | queue=271 | rejected_total=0
[ARRIVAL] t=05785 ARRIVAL +1 | queue=270 | rejected_total=0
[ARRIVAL] t=05790 ARRIVAL +1 | queue=269 | rejected_total=0
[ARRIVAL] t=05791 ARRIVAL +2 | queue=270 | rejected_total=0
[ARRIVAL] t=05792 ARRIVAL +1 | queue=269 | rejected_total=0
[ARRIVAL] t=05793 ARRIVAL +1 | queue=268 | rejected_total=0
[ARRIVAL] t=05796 ARRIVAL +1 | queue=267 | rejected_total=0
[ARRIVAL] t=05797 ARRIVAL +2 | queue=269 | rejected_total=0
[HEARTBEAT] t=05800 queue=269 servers=13 busy=13 completed=3305 rejected=0
[ARRIVAL] t=05801 ARRIVAL +1 | queue=268 | rejected_total=0
[ARRIVAL] t=05803 ARRIVAL +1 | queue=269 | rejected_total=0
[ARRIVAL] t=05808 ARRIVAL +1 | queue=269 | rejected_total=0
[ARRIVAL] t=05810 ARRIVAL +2 | queue=270 | rejected_total=0
[ARRIVAL] t=05814 ARRIVAL +1 | queue=265 | rejected_total=0
[ARRIVAL] t=05818 ARRIVAL +2 | queue=266 | rejected_total=0
[ARRIVAL] t=05821 ARRIVAL +2 | queue=266 | rejected_total=0
[ARRIVAL] t=05822 ARRIVAL +1 | queue=267 | rejected_total=0
[ARRIVAL] t=05824 ARRIVAL +1 | queue=268 | rejected_total=0
[ARRIVAL] t=05825 ARRIVAL +2 | queue=270 | rejected_total=0
[ARRIVAL] t=05826 ARRIVAL +1 | queue=270 | rejected_total=0
[ARRIVAL] t=05832 ARRIVAL +2 | queue=267 | rejected_total=0
[ARRIVAL] t=05834 ARRIVAL +1 | queue=268 | rejected_total=0
[ARRIVAL] t=05841 ARRIVAL +1 | queue=264 | rejected_total=0
[ARRIVAL] t=05848 ARRIVAL +2 | queue=265 | rejected_total=0
[ARRIVAL] t=05850 ARRIVAL +2 | queue=263 | rejected_total=0
[ARRIVAL] t=05855 ARRIVAL +1 | queue=262 | rejected_total=0
[ARRIVAL] t=05856 ARRIVAL +2 | queue=264 | rejected_total=0
[ARRIVAL] t=05861 ARRIVAL +2 | queue=262 | rejected_total=0
[ARRIVAL] t=05862 ARRIVAL +1 | queue=263 | rejected_total=0
[ARRIVAL] t=05870 ARRIVAL +1 | queue=260 | rejected_total=0
[ARRIVAL] t=05875 ARRIVAL +2 | queue=262 | rejected_total=0
[ARRIVAL] t=05877 ARRIVAL +2 | queue=262 | rejected_total=0
[ARRIVAL] t=05879 ARRIVAL +2 | queue=264 | rejected_total=0
[ARRIVAL] t=05885 ARRIVAL +1 | queue=261 | rejected_total=0
[ARRIVAL] t=05886 ARRIVAL +1 | queue=260 | rejected_total=0
[ARRIVAL] t=05888 ARRIVAL +2 | queue=260 | rejected_total=0
[ARRIVAL] t=05893 ARRIVAL +1 | queue=256 | rejected_total=0
[ARRIVAL] t=05896 ARRIVAL +1 | queue=256 | rejected_total=0
[ARRIVAL] t=05897 ARRIVAL +2 | queue=258 | rejected_total=0
[HEARTBEAT] t=05900 queue=256 servers=13 busy=13 completed=3362 rejected=0
[ARRIVAL] t=05901 ARRIVAL +2 | queue=257 | rejected_total=0
[ARRIVAL] t=05906 ARRIVAL +1 | queue=255 | rejected_total=0
[ARRIVAL] t=05907 ARRIVAL +1 | queue=255 | rejected_total=0
[ARRIVAL] t=05910 ARRIVAL +2 | queue=257 | rejected_total=0
[ARRIVAL] t=05919 ARRIVAL +1 | queue=251 | rejected_total=0
[ARRIVAL] t=05921 ARRIVAL +2 | queue=252 | rejected_total=0
[ARRIVAL] t=05923 ARRIVAL +2 | queue=253 | rejected_total=0
[ARRIVAL] t=05924 ARRIVAL +1 | queue=254 | rejected_total=0
[ARRIVAL] t=05930 ARRIVAL +1 | queue=251 | rejected_total=0
[ARRIVAL] t=05935 ARRIVAL +1 | queue=250 | rejected_total=0
[ARRIVAL] t=05939 ARRIVAL +1 | queue=249 | rejected_total=0
[ARRIVAL] t=05941 ARRIVAL +1 | queue=248 | rejected_total=0
[ARRIVAL] t=05943 ARRIVAL +2 | queue=248 | rejected_total=0
[ARRIVAL] t=05947 ARRIVAL +2 | queue=248 | rejected_total=0
[ARRIVAL] t=05948 ARRIVAL +2 | queue=249 | rejected_total=0
[ARRIVAL] t=05949 ARRIVAL +2 | queue=251 | rejected_total=0
[ARRIVAL] t=05951 ARRIVAL +2 | queue=252 | rejected_total=0
[ARRIVAL] t=05953 ARRIVAL +1 | queue=249 | rejected_total=0
[ARRIVAL] t=05955 ARRIVAL +1 | queue=249 | rejected_total=0
[ARRIVAL] t=05956 ARRIVAL +2 | queue=251 | rejected_total=0
[ARRIVAL] t=05962 ARRIVAL +2 | queue=251 | rejected_total=0
[ARRIVAL] t=05968 ARRIVAL +2 | queue=249 | rejected_total=0
[ARRIVAL] t=05969 ARRIVAL +1 | queue=250 | rejected_total=0
[ARRIVAL] t=05971 ARRIVAL +1 | queue=251 | rejected_total=0
[ARRIVAL] t=05972 ARRIVAL +2 | queue=253 | rejected_total=0
[ARRIVAL] t=05976 ARRIVAL +2 | queue=252 | rejected_total=0
[ARRIVAL] t=05979 ARRIVAL +1 | queue=252 | rejected_total=0
[ARRIVAL] t=05993 ARRIVAL +1 | queue=247 | rejected_total=0
[ARRIVAL] t=05995 ARRIVAL +2 | queue=247 | rejected_total=0
[COMPLETE] t=06000 COMPLETE server=0 | completed=3417
[COMPLETE] t=06000 COMPLETE server=5 | completed=3418
[ASSIGN] t=06000 ASSIGN server=0 job=P time=18 | queue=245
[ASSIGN] t=06000 ASSIGN server=5 job=S time=23 | queue=244
[HEARTBEAT] t=06000 queue=244 servers=13 busy=13 completed=3418 rejected=0
[ARRIVAL] t=06006 ARRIVAL +2 | queue=241 | rejected_total=0
[ARRIVAL] t=06007 ARRIVAL +2 | queue=242 | rejected_total=0
[ARRIVAL] t=06012 ARRIVAL +2 | queue=241 | rejected_total=0
[ARRIVAL] t=06015 ARRIVAL +1 | queue=242 | rejected_total=0
[ARRIVAL] t=06019 ARRIVAL +2 | queue=241 | rejected_total=0
[ARRIVAL] t=06020 ARRIVAL +1 | queue=242 | rejected_total=0
[ARRIVAL] t=06025 ARRIVAL +2 | queue=240 | rejected_total=0
[ARRIVAL] t=06029 ARRIVAL +1 | queue=240 | rejected_total=0
[ARRIVAL] t=06030 ARRIVAL +2 | queue=242 | rejected_total=0
[ARRIVAL] t=06031 ARRIVAL +2 | queue=243 | rejected_total=0
[ARRIVAL] t=06032 ARRIVAL +2 | queue=244 | rejected_total=0
[ARRIVAL] t=06033 ARRIVAL +1 | queue=244 | rejected_total=0
[ARRIVAL] t=06034 ARRIVAL +1 | queue=243 | rejected_total=0
[ARRIVAL] t=06049 ARRIVAL +2 | queue=239 | rejected_total=0
[ARRIVAL] t=06051 ARRIVAL +2 | queue=238 | rejected_total=0
[ARRIVAL] t=06057 ARRIVAL +1 | queue=237 | rejected_total=0
[ARRIVAL] t=06058 ARRIVAL +2 | queue=237 | rejected_total=0
[ARRIVAL] t=06061 ARRIVAL +1 | queue=237 | rejected_total=0
[ARRIVAL] t=06064 ARRIVAL +2 | queue=236 | rejected_total=0
[ARRIVAL] t=06066 ARRIVAL +2 | queue=236 | rejected_total=0
[ARRIVAL] t=06067 ARRIVAL +2 | queue=237 | rejected_total=0
[ARRIVAL] t=06068 ARRIVAL +1 | queue=237 | rejected_total=0
[ARRIVAL] t=06074 ARRIVAL +1 | queue=237 | rejected_total=0
[ARRIVAL] t=06075 ARRIVAL +1 | queue=237 | rejected_total=0
[ARRIVAL] t=06076 ARRIVAL +2 | queue=238 | rejected_total=0
[ARRIVAL] t=06079 ARRIVAL +2 | queue=237 | rejected_total=0
[ARRIVAL] t=06082 ARRIVAL +1 | queue=238 | rejected_total=0
[ARRIVAL] t=06084 ARRIVAL +1 | queue=239 | rejected_total=0
[ARRIVAL] t=06093 ARRIVAL +1 | queue=233 | rejected_total=0
[ARRIVAL] t=06095 ARRIVAL +2 | queue=233 | rejected_total=0
[ARRIVAL] t=06098 ARRIVAL +2 | queue=234 | rejected_total=0
[ARRIVAL] t=06099 ARRIVAL +1 | queue=234 | rejected_total=0
[HEARTBEAT] t=06100 queue=234 servers=13 busy=13 completed=3478 rejected=0
[ARRIVAL] t=06102 ARRIVAL +2 | queue=236 | rejected_total=0
[ARRIVAL] t=06104 ARRIVAL +2 | queue=238 | rejected_total=0
[ARRIVAL] t=06112 ARRIVAL +1 | queue=234 | rejected_total=0
[ARRIVAL] t=06115 ARRIVAL +1 | queue=235 | rejected_total=0
[ARRIVAL] t=06116 ARRIVAL +1 | queue=236 | rejected_total=0
[ARRIVAL] t=06120 ARRIVAL +1 | queue=236 | rejected_total=0
[ARRIVAL] t=06123 ARRIVAL +1 | queue=235 | rejected_total=0
[ARRIVAL] t=06126 ARRIVAL +1 | queue=231 | rejected_total=0
[ARRIVAL] t=06136 ARRIVAL +1 | queue=227 | rejected_total=0
[ARRIVAL] t=06146 ARRIVAL +2 | queue=223 | rejected_total=0
[ARRIVAL] t=06152 ARRIVAL +1 | queue=220 | rejected_total=0
[ARRIVAL] t=06156 ARRIVAL +2 | queue=218 | rejected_total=0
[ARRIVAL] t=06157 ARRIVAL +2 | queue=220 | rejected_total=0
[ARRIVAL] t=06159 ARRIVAL +1 | queue=221 | rejected_total=0
[ARRIVAL] t=06160 ARRIVAL +2 | queue=221 | rejected_total=0
[ARRIVAL] t=06171 ARRIVAL +1 | queue=217 | rejected_total=0
[ARRIVAL] t=06176 ARRIVAL +1 | queue=215 | rejected_total=0
[ARRIVAL] t=06177 ARRIVAL +1 | queue=215 | rejected_total=0
[ARRIVAL] t=06179 ARRIVAL +1 | queue=214 | rejected_total=0
[ARRIVAL] t=06182 ARRIVAL +1 | queue=213 | rejected_total=0
[ARRIVAL] t=06183 ARRIVAL +2 | queue=215 | rejected_total=0
[ARRIVAL] t=06186 ARRIVAL +2 | queue=215 | rejected_total=0
[ARRIVAL] t=06194 ARRIVAL +1 | queue=211 | rejected_total=0
[ARRIVAL] t=06198 ARRIVAL +1 | queue=211 | rejected_total=0
[HEARTBEAT] t=06200 queue=211 servers=13 busy=13 completed=3533 rejected=0
[ARRIVAL] t=06201 ARRIVAL +1 | queue=211 | rejected_total=0
[ARRIVAL] t=06204 ARRIVAL +1 | queue=211 | rejected_total=0
[ARRIVAL] t=06212 ARRIVAL +1 | queue=209 | rejected_total=0
[ARRIVAL] t=06215 ARRIVAL +2 | queue=209 | rejected_total=0
[ARRIVAL] t=06227 ARRIVAL +2 | queue=204 | rejected_total=0
[ARRIVAL] t=06230 ARRIVAL +1 | queue=202 | rejected_total=0
[ARRIVAL] t=06232 ARRIVAL +1 | queue=203 | rejected_total=0
[ARRIVAL] t=06233 ARRIVAL +2 | queue=202 | rejected_total=0
[ARRIVAL] t=06234 ARRIVAL +2 | queue=204 | rejected_total=0
[ARRIVAL] t=06236 ARRIVAL +2 | queue=206 | rejected_total=0
[ARRIVAL] t=06245 ARRIVAL +2 | queue=206 | rejected_total=0
[ARRIVAL] t=06246 ARRIVAL +2 | queue=207 | rejected_total=0
[ARRIVAL] t=06247 ARRIVAL +2 | queue=208 | rejected_total=0
[ARRIVAL] t=06250 ARRIVAL +1 | queue=207 | rejected_total=0
[ARRIVAL] t=06251 ARRIVAL +1 | queue=206 | rejected_total=0
[ARRIVAL] t=06252 ARRIVAL +2 | queue=207 | rejected_total=0
[ARRIVAL] t=06259 ARRIVAL +2 | queue=207 | rejected_total=0
[ARRIVAL] t=06260 ARRIVAL +2 | queue=208 | rejected_total=0
[ARRIVAL] t=06262 ARRIVAL +1 | queue=207 | rejected_total=0
[ARRIVAL] t=06263 ARRIVAL +2 | queue=209 | rejected_total=0
[ARRIVAL] t=06267 ARRIVAL +2 | queue=208 | rejected_total=0
[ARRIVAL] t=06270 ARRIVAL +1 | queue=209 | rejected_total=0
[ARRIVAL] t=06271 ARRIVAL +2 | queue=209 | rejected_total=0
